WinOrLose,VoteNum,CandidateName,MembersNum,Karya,MunMemberNum,Baladiya,Kada,Muhafaza,List
نوزئافلا ,19144,يرمدت رمع دلاخ ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,18360,قمي تزع ضاير ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,17952,جرملا باهولا دبع دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,17907,يلولا ديلو دلاخ ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,17755,نيدلا رمق رداقلا دبع دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,17719,ناطلس ميهاربإ رهاز ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,17612,يولابج دمحا ليمج ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,17177,يناولح دمحم حيمس ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,17162,ةزمح ىفطصم دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نوزئافلا ,16957,هضيوع نيدلا ءاهب مازع دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نوزئافلا ,16901,هباشن ناسغ يداش ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نوزئافلا ,16871,يودبلا دومحم دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,16779,يركنس زئاف دمحم اشر ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نوزئافلا ,16732,نكيفيرش تمصع دمحا حوفص دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نوزئافلا ,16718,رتع نيما دمحم قيفوت ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,16676,يبويلاا دعسا رون دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,16623,جاحلا دعسا لساب ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,16603,رمات ناندع دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,16494,راقبلا يلع نيدلا يحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نوزئافلا ,16411,لاتف فصاو دمحم يحي ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,16010,مدقم ميركلا دبع يؤل ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,15982,ريصقلا ديمحلا دبع دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نوزئافلا ,15941,هميرك ديلو ديمحلا دبع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نوزئافلا ,15914,شاخب باهولا دبع مساب ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,15889,الله دبع رضخ دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نورساخلا ,15774,يدرد تكوش ميهاربإ دمحم ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نورساخلا ,15763,ىسيع ميهاربإ حرف ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نورساخلا ,15732,يروخاف يجان ديلو دمحا ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Karar Tarablos
نورساخلا ,15710,بلاح رذنم رمع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,15532,بيدلا بيهو نيز ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,15491,ساوم دمحا ىنغ ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,15243,زيلبد قازرلا دبع بيهو ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,15243,هرابك ريشب عيبر ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,15198,دوراب هط ميركلا دبع ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,15130,لام حابص نسح بيجن ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
نورساخلا ,15105,ضيبم ميهاربإ ديلو ,24,سلبارط ةنيدم ,24,سلبارط ةنيدم ,سلبارط ,يلامشلا نانبل ,Li Tarablos
